ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q35,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
R_bkgNtcu9QG6AztL,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:23,5/20/15 12:38,1,1,1,10,10,F,G,2,,4,2,2,5,5,3,4,4,2,1,2,2,3,2,2,4,2,5,5,5,4,3,1,5,3,1,,,1,45.72259521,-68.79509735,-1
R_12EZdGv6SDd1qrD,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:16,5/20/15 12:43,1,1,1,11,11,F,G,2,,4,2,3,2,5,2,4,4,2,2,4,4,3,4,1,5,1,3,3,5,4,3,4,4,2,1,,,1,45.72259521,-68.79509735,-1
R_OJ22CEJLHSsOppv,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:24,5/20/15 12:47,1,1,1,12,12,F,G,2,,4,3,4,5,1,3,4,1,3,5,5,4,5,2,4,2,4,1,5,5,5,3,4,3,2,1,,,1,45.72259521,-68.79509735,-1
R_31gR8FznLxzh0X3,Default Response Set,Anonymous,,,169.244.38.65,0,5/20/15 12:25,5/20/15 12:49,1,1,1,13,13,F,G,2,,4,3,1,4,4,4,5,1,2,1,4,4,5,4,2,5,5,1,1,2,1,5,4,3,3,1,,,1,45.72259521,-68.79509735,-1
R_2QAKeM0aVFaOagU,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:46,5/21/15 8:52,1,1,1,14,14,F,G,2,,4,3,2,5,1,5,4,1,2,5,4,4,5,2,2,1,2,1,3,5,4,5,1,4,4,1,,,1,45.45799255,-68.48120117,-1
R_ZmH8Vlw32ochByV,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:44,5/21/15 8:52,1,1,1,15,15,F,G,2,,4,2,1,5,1,5,5,1,2,4,4,4,5,2,2,5,2,1,3,2,5,3,1,2,2,1,,,1,45.45799255,-68.48120117,-1
R_UDYyyss3886RTG1,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:47,5/21/15 8:53,1,1,1,16,16,F,G,2,,4,3,1,4,1,3,4,1,2,1,4,4,5,2,5,2,2,5,1,2,4,2,1,4,3,1,,,1,45.45799255,-68.48120117,-1
R_1g1JVD2S7DMe8IE,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:50,5/21/15 8:55,1,1,1,17,17,F,G,2,,4,1,1,4,1,4,4,4,3,1,4,4,1,5,2,5,5,1,4,2,4,3,4,5,4,1,,,1,45.45799255,-68.48120117,-1
R_1jCaJHrFksbPZmg,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:46,5/21/15 8:56,1,1,1,18,18,F,G,2,,4,2,2,5,1,3,4,1,2,2,5,4,5,2,2,2,2,1,3,2,4,5,1,3,3,1,,,1,45.45799255,-68.48120117,-1
R_1hXQGQ40tLnSo2p,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:50,5/21/15 8:56,1,1,1,19,19,F,G,2,,4,3,1,5,1,4,4,4,2,4,2,4,5,2,2,2,2,1,5,2,4,3,1,5,3,1,,,1,45.45799255,-68.48120117,-1
R_3LYnXbvStohyHoU,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:48,5/21/15 8:57,1,1,1,20,20,F,G,2,,4,1,2,4,5,5,4,3,2,2,4,5,5,5,5,1,2,1,4,2,4,5,1,5,1,1,,,1,45.45799255,-68.48120117,-1
R_22LDLbdQP3ffDsQ,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:48,5/21/15 8:57,1,1,1,21,21,F,G,2,,4,3,2,4,4,3,4,4,2,1,2,4,3,5,2,4,2,1,1,3,4,3,1,4,2,1,,,1,45.45799255,-68.48120117,-1
R_1Cv7Yty7bAARYRV,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:48,5/21/15 8:58,1,1,1,22,22,F,G,2,,4,2,1,5,5,5,5,1,5,5,4,4,5,5,5,5,4,1,1,5,1,2,4,5,3,1,,,1,45.45799255,-68.48120117,-1
R_2P87Y9xO9nITcVr,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:49,5/21/15 9:00,1,1,1,23,23,F,G,2,,4,3,2,5,5,1,2,5,2,1,2,3,5,2,3,5,1,5,1,2,5,5,1,5,2,1,,,1,45.45799255,-68.48120117,-1
R_2y2E3dJpGnNtLmg,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:50,5/21/15 9:05,1,1,1,24,24,F,G,2,,4,2,2,4,1,3,4,1,2,2,4,4,5,4,2,4,3,1,1,2,1,2,4,1,2,1,,,1,45.45799255,-68.48120117,-1
R_3JrrJCzSsRFp0mK,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 8:54,5/21/15 9:10,1,1,1,25,25,F,G,2,,4,4,1,5,5,3,4,1,2,1,2,4,5,5,5,3,4,1,1,2,2,3,1,5,3,1,,,1,45.45799255,-68.48120117,-1
R_Qbl2tUQ2tn75bCV,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 10:57,5/21/15 11:09,1,1,1,26,26,F,G,2,,4,3,2,3,2,3,4,4,2,4,2,2,1,1,2,3,3,2,3,3,4,2,4,3,3,1,,,1,44.35020447,-68.6434021,-1
R_3LcEy9BUpeWiKXg,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 10:58,5/21/15 11:10,1,1,1,27,27,F,G,2,,4,2,1,5,1,5,4,4,2,1,4,4,5,2,2,5,2,1,1,2,1,2,1,4,2,1,,,1,44.35020447,-68.6434021,-1
R_pLaJlueR8ZAgeuB,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 10:57,5/21/15 11:11,1,1,1,28,28,F,G,2,,4,2,2,5,5,4,4,4,2,1,2,4,3,5,2,5,2,1,1,3,1,5,1,5,3,1,,,1,44.35020447,-68.6434021,-1
R_1FG7nAKrsbLcgvD,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:03,5/21/15 11:12,1,1,1,29,29,F,G,2,,4,2,1,5,1,3,4,1,3,1,4,3,3,4,2,5,2,1,1,2,5,3,1,5,2,1,,,1,44.35020447,-68.6434021,-1
R_3egz8d43TBRZAsx,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:01,5/21/15 11:12,1,1,1,30,30,F,G,2,,4,2,2,2,1,3,4,1,5,1,2,4,3,,3,4,2,2,1,3,5,2,2,4,3,1,,,1,44.35020447,-68.6434021,-1
R_1mDyJ0prRqZmEty,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 10:57,5/21/15 11:12,1,1,1,31,31,F,G,2,,4,2,4,2,5,4,4,4,2,1,2,2,5,4,5,4,4,1,2,5,4,1,1,1,4,1,,,1,44.35020447,-68.6434021,-1
R_2SDG346H7ltNA6g,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 10:57,5/21/15 11:13,1,1,1,32,32,F,G,2,,4,2,1,5,5,3,4,4,2,1,4,4,3,4,2,5,3,1,1,2,4,2,1,5,3,1,,,1,44.35020447,-68.6434021,-1
R_2srWMeYM58rqonL,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:01,5/21/15 11:15,1,1,1,33,33,F,G,2,,4,2,1,5,1,3,4,1,2,1,2,4,5,5,5,5,2,1,1,5,4,2,1,5,3,1,,,1,44.35020447,-68.6434021,-1
R_2X7JU13c4Bw5lKr,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:00,5/21/15 11:16,1,1,1,34,34,F,G,2,,4,2,2,5,1,5,5,1,2,1,4,4,1,2,5,5,1,1,1,2,4,2,4,3,1,1,,,1,44.35020447,-68.6434021,-1
R_21nbDeKTcZwloIw,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:10,5/21/15 11:16,1,1,1,35,35,F,G,2,,4,2,5,4,5,4,4,1,2,1,5,4,1,4,4,2,5,5,3,2,4,5,4,5,5,1,,,1,44.35020447,-68.6434021,-1
R_UPAMCumFiq2CGZz,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:03,5/21/15 11:18,1,1,1,36,36,F,G,1,,4,2,2,5,1,3,4,4,2,2,2,4,3,2,4,1,5,1,1,2,5,3,1,4,2,1,,,1,44.35020447,-68.6434021,-1
R_bNLNLJGHYrHmBvv,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:45,5/21/15 11:55,1,1,1,37,37,F,G,2,,4,2,2,2,1,3,5,2,3,5,2,1,4,3,2,5,2,1,1,2,4,5,1,5,2,1,,,1,44.35020447,-68.6434021,-1
R_abpXqRiVH4oRHJH,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:45,5/21/15 11:55,1,1,1,38,38,F,G,2,,1,2,2,5,1,4,4,1,2,1,4,4,5,2,2,5,2,1,1,2,1,2,4,1,4,1,,,1,44.35020447,-68.6434021,-1
R_da3jCfuNmwGsc9T,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:43,5/21/15 11:56,1,1,1,39,39,F,G,2,,4,3,2,5,1,3,4,4,5,1,2,,2,4,1,1,4,4,4,5,1,2,1,3,3,1,,,1,44.35020447,-68.6434021,-1
R_2fo23EBJbeFUozH,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:46,5/21/15 11:58,1,1,1,40,40,F,G,2,,2,2,1,5,1,5,4,5,2,4,1,2,5,4,4,3,5,4,4,2,3,1,3,2,3,1,,,1,44.35020447,-68.6434021,-1
R_39qP6mFs5jekZKt,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:44,5/21/15 11:59,1,1,1,41,41,F,G,2,,4,3,1,5,3,3,5,1,5,1,5,4,1,5,3,2,3,3,1,5,4,5,4,4,3,1,,,1,44.35020447,-68.6434021,-1
R_dcBeJpIP7G0LTsF,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:43,5/21/15 11:59,1,1,1,42,42,LT,T,2,,4,2,2,2,4,3,4,1,2,1,4,4,5,3,2,5,4,2,1,2,2,4,1,4,2,1,,,1,44.35020447,-68.6434021,-1
R_9FhKwjRKODWjdHf,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:48,5/21/15 12:01,1,1,1,43,43,LT,T,2,,5,2,2,1,5,2,2,4,2,1,2,3,4,4,4,2,5,1,4,2,1,2,3,4,4,1,,,1,44.35020447,-68.6434021,-1
R_cMCulx4ITGEnqvz,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:44,5/21/15 12:04,1,1,1,44,44,LT,T,2,,4,2,2,5,5,3,4,4,2,1,4,4,5,5,2,5,1,1,1,2,2,5,1,4,2,2,,,1,44.35020447,-68.6434021,-1
R_1zCE0iRedcml0EJ,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:46,5/21/15 12:04,1,1,1,45,45,LT,T,2,,4,2,2,5,4,3,4,1,2,1,4,4,5,5,2,5,2,1,1,3,4,3,1,2,3,1,,,1,44.35020447,-68.6434021,-1
R_cwQwIAjK4WfVyZv,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:48,5/21/15 12:05,1,1,1,46,46,LT,T,2,,4,2,2,5,1,3,2,1,2,3,5,4,5,5,2,5,5,1,1,2,5,2,1,5,4,1,,,1,44.35020447,-68.6434021,-1
R_5i0cKXUsRg97uWV,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:45,5/21/15 12:06,1,1,1,47,47,LT,T,2,,4,3,1,4,1,3,4,4,2,1,4,4,5,5,2,5,1,1,1,1,1,2,1,1,2,1,,,1,44.35020447,-68.6434021,-1
R_3fQfjGwHvstLPed,Default Response Set,Anonymous,,,169.244.203.6,0,5/21/15 11:45,5/21/15 12:10,1,1,1,48,48,LT,T,2,,4,2,2,4,4,3,5,2,2,1,4,1,3,2,4,4,2,4,1,2,4,,1,4,2,1,,,1,44.35020447,-68.6434021,-1
R_2Eb1QCxeo6ssqrb,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:48,5/21/15 13:50,1,1,1,49,49,LL,,2,,4,2,5,1,4,4,2,1,3,3,4,4,5,4,3,3,3,1,1,2,1,5,4,1,4,1,,,1,45.45799255,-68.48120117,-1
R_1FfENioSCMvTUwg,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:46,5/21/15 13:53,1,1,1,50,50,LL,,2,,4,2,1,2,1,4,4,1,2,3,4,4,3,5,2,5,5,1,1,2,4,3,3,4,2,2,,,1,45.45799255,-68.48120117,-1
R_2aFD7pMFF8LKcXx,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:53,1,1,1,51,51,LL,,2,,4,2,1,5,5,4,4,1,2,1,2,4,5,5,2,5,2,1,1,5,4,2,1,4,4,2,,,1,45.45799255,-68.48120117,-1
R_BWBWUY11zvEfOp3,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:45,5/21/15 13:55,1,1,1,52,52,LL,,2,,4,2,1,2,5,3,4,4,2,1,2,4,5,5,2,5,1,1,1,2,4,5,4,4,3,2,,,1,45.45799255,-68.48120117,-1
R_YRXeif5U8Z5k3K1,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:51,5/21/15 13:55,1,1,1,53,53,LL,,2,,4,2,1,2,5,5,4,4,2,1,2,2,5,5,2,5,1,1,1,2,4,3,1,1,1,1,,,1,45.45799255,-68.48120117,-1
R_3HnyVRFY9CV735A,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:55,1,1,1,54,54,LL,,2,,4,2,1,5,5,3,4,1,2,1,4,4,3,4,2,5,2,1,1,2,4,5,1,4,3,2,,,1,45.45799255,-68.48120117,-1
R_1rJmFVliK0T6l41,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:48,5/21/15 13:55,1,1,1,55,55,LL,,2,,4,3,1,5,1,5,5,5,2,5,4,4,1,5,2,3,2,1,1,2,4,2,4,4,4,1,,,1,45.45799255,-68.48120117,-1
R_2E0MN5ksjTItHI1,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:56,1,1,1,56,56,LL,,2,,1,2,1,5,1,5,4,4,2,1,5,1,5,4,5,4,1,2,2,1,5,3,1,4,5,2,,,1,45.45799255,-68.48120117,-1
R_2e26qrUbGtXqvTw,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:56,1,1,1,57,57,LL,,2,,1,3,2,2,1,3,2,1,3,5,4,4,4,4,4,3,5,1,5,2,4,4,4,4,4,1,,,1,45.45799255,-68.48120117,-1
R_1qWbD0K8T9AP3kr,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:56,1,1,1,58,58,LL,,2,,4,2,1,5,1,3,4,1,2,1,4,4,4,2,2,5,5,1,1,2,4,5,4,4,1,1,,,1,45.45799255,-68.48120117,-1
R_12heyCkeuLS75E5,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:46,5/21/15 13:57,1,1,1,59,59,LL,,2,,4,2,2,4,1,3,4,1,2,1,2,4,3,5,1,2,3,1,1,5,4,5,4,4,1,1,,,1,45.45799255,-68.48120117,-1
R_1OoQehDopnkF23J,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:47,5/21/15 13:57,1,1,1,60,60,LL,,2,,1,2,2,2,1,3,4,1,2,3,4,3,5,5,2,4,2,3,1,2,4,1,4,4,1,1,,,1,45.45799255,-68.48120117,-1
R_3k7gXubWjahCAw2,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:42,5/21/15 13:58,1,1,1,61,61,LL,,2,,4,3,2,4,5,4,5,4,2,1,4,4,3,5,2,4,1,3,1,2,4,5,1,4,4,2,,,1,45.45799255,-68.48120117,-1
R_URUqtWz8ngGAKGt,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:48,5/21/15 13:59,1,1,1,62,62,LL,,2,,4,2,2,2,1,3,4,1,3,3,2,4,5,5,2,5,2,5,1,2,4,5,1,3,2,2,,,1,45.45799255,-68.48120117,-1
R_3niT5UJUMcZEuOm,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:50,5/21/15 14:00,1,1,1,63,63,LL,,2,,3,2,1,1,2,3,1,5,4,4,2,1,4,4,2,1,4,5,5,2,4,1,4,5,1,2,,,1,45.45799255,-68.48120117,-1
R_22R1I8cGzRFbh3y,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:51,5/21/15 14:02,1,1,1,64,64,LL,,2,,4,4,1,5,5,3,4,1,2,1,4,4,5,5,2,5,2,5,5,2,2,5,4,4,3,1,,,1,45.45799255,-68.48120117,-1
R_3D71uY30fXeecpE,Default Response Set,Anonymous,,,169.244.77.113,0,5/21/15 13:51,5/21/15 14:02,1,1,1,65,65,LL,,2,,4,2,1,4,4,3,4,1,2,1,2,4,5,5,2,5,2,1,1,5,4,5,4,1,3,2,,,1,45.45799255,-68.48120117,-1
R_3Rq5dU5a3k2g4B6,Default Response Set,Anonymous,,,65.18.70.12,0,5/22/15 8:32,5/22/15 8:39,1,1,1,66,66,LL,,2,,1,2,4,2,1,2,2,5,3,3,1,4,2,4,2,2,2,2,2,2,2,1,1,1,5,2,,,1,46.11540222,-67.91699982,-1
R_2Vt028YlzymmMK5,Default Response Set,Anonymous,,,65.18.70.26,0,5/22/15 8:32,5/22/15 8:40,1,1,1,67,67,LL,,2,,2,5,2,2,5,5,1,5,1,3,2,2,2,2,4,1,1,5,5,4,4,4,4,1,2,2,,,1,46.11540222,-67.91699982,-1
R_27eVwL44r73SOVn,Default Response Set,Anonymous,,,65.18.70.22,0,5/22/15 8:32,5/22/15 8:40,1,1,1,68,68,LL,,2,,3,2,1,2,1,3,4,4,2,1,2,2,3,5,2,5,5,1,1,2,4,5,1,4,1,2,,,1,46.11540222,-67.91699982,-1
R_1f8GdeN8qdtpoKS,Default Response Set,Anonymous,,,65.18.71.134,0,5/22/15 8:32,5/22/15 8:40,1,1,1,69,69,LL,,2,,4,2,1,5,,5,2,2,2,1,4,4,5,5,2,5,2,1,1,2,1,5,1,4,1,1,,,1,46.11540222,-67.91699982,-1
R_269gEsbfWX7VvfY,Default Response Set,Anonymous,,,65.18.71.166,0,5/22/15 8:32,5/22/15 8:41,1,1,1,70,70,LL,,2,,1,3,2,1,1,4,4,1,2,1,4,2,5,5,2,5,3,1,1,2,4,3,1,4,3,1,,,1,46.11540222,-67.91699982,-1
R_Qn1fIQ0QT3OSPQd,Default Response Set,Anonymous,,,65.18.70.9,0,5/22/15 8:32,5/22/15 8:41,1,1,1,71,71,LL,,2,,4,2,1,5,5,3,4,1,2,1,2,4,4,5,2,5,2,5,1,2,4,2,1,1,2,1,,,1,46.11540222,-67.91699982,-1
R_3rHACSaJ2IbbHi4,Default Response Set,Anonymous,,,65.18.70.98,0,5/22/15 8:32,5/22/15 8:42,1,1,1,72,72,LL,,2,,4,2,1,4,5,5,4,4,2,1,4,4,5,5,2,5,2,1,1,2,4,5,1,4,1,1,,,1,46.11540222,-67.91699982,-1
R_aeFsehNNfCJEX17,Default Response Set,Anonymous,,,65.18.70.36,0,5/22/15 8:32,5/22/15 8:42,1,1,1,73,73,LL,,2,,4,2,1,4,5,5,4,4,2,4,4,4,3,5,2,,2,1,1,3,1,5,1,1,3,2,,,1,46.11540222,-67.91699982,-1
R_3Lh7MwVUk9v3Qgg,Default Response Set,Anonymous,,,65.18.68.24,0,5/22/15 8:32,5/22/15 8:43,1,1,1,74,74,LL,,2,,4,2,1,5,1,3,4,1,2,1,4,4,5,5,2,5,2,1,1,2,4,5,1,5,1,2,,,1,46.11540222,-67.91699982,-1
R_Anun1R7A6P8yWbv,Default Response Set,Anonymous,,,65.18.71.165,0,5/22/15 8:32,5/22/15 8:43,1,1,1,75,75,W,H,3,,4,2,4,5,2,3,4,1,2,1,4,4,5,5,4,5,2,1,1,5,4,2,4,5,1,1,,,1,46.11540222,-67.91699982,-1
R_3ENcV3xUDrS661T,Default Response Set,Anonymous,,,65.18.69.93,0,5/22/15 8:33,5/22/15 8:43,1,1,1,76,76,W,W,3,,1,2,1,5,5,4,5,4,2,1,4,4,5,5,2,5,2,1,1,2,4,5,1,4,2,2,,,1,46.11540222,-67.91699982,-1
R_0qSj7NMWDXMLuAF,Default Response Set,Anonymous,,,65.18.69.23,0,5/22/15 8:32,5/22/15 8:43,1,1,1,77,77,W,H,3,,1,2,2,4,2,3,1,1,2,1,2,3,5,2,5,2,1,5,1,2,2,2,4,4,2,1,,,1,46.11540222,-67.91699982,-1
R_1DpseQbVDtBLmvC,Default Response Set,Anonymous,,,65.18.70.8,0,5/22/15 8:33,5/22/15 8:43,1,1,1,78,78,W,H,3,,4,3,2,2,1,3,4,4,2,1,4,3,3,5,2,5,5,3,5,2,4,5,4,1,2,1,,,1,46.11540222,-67.91699982,-1
R_10V0ms2v0QPAsuw,Default Response Set,Anonymous,,,65.18.68.174,0,5/22/15 8:32,5/22/15 8:44,1,1,1,79,79,W,H,3,,4,2,3,2,1,4,5,1,3,1,2,4,4,2,3,,2,4,3,2,2,3,1,3,3,1,,,1,46.11540222,-67.91699982,-1
R_cSGnhYqTM8hjcFH,Default Response Set,Anonymous,,,65.18.68.247,0,5/22/15 8:34,5/22/15 8:44,1,1,1,80,80,W,H,3,,1,2,2,5,1,3,4,1,1,2,5,4,3,5,1,5,1,1,3,5,4,5,1,5,2,2,,,1,46.11540222,-67.91699982,-1
R_tX4n9UwjULNki7T,Default Response Set,Anonymous,,,65.18.69.54,0,5/22/15 8:34,5/22/15 8:44,1,1,1,81,81,W,H,3,,4,3,2,1,1,3,5,1,2,5,2,3,3,2,3,2,1,1,1,2,3,5,1,1,1,2,,,1,46.11540222,-67.91699982,-1
R_exFoN3pGAgjU5Ed,Default Response Set,Anonymous,,,65.18.70.34,0,5/22/15 8:32,5/22/15 8:49,1,1,1,82,82,W,H,3,,4,2,2,5,2,4,4,2,3,1,4,4,3,2,1,5,5,5,1,5,2,3,1,4,2,2,,,1,46.11540222,-67.91699982,-1
R_2fBWVG6oKQBXeH3,Default Response Set,Anonymous,,,65.18.68.200,0,5/22/15 8:33,5/22/15 8:51,1,1,1,83,83,W,H,3,,1,2,4,1,1,4,4,4,3,1,2,3,3,2,2,2,2,1,4,2,4,3,4,1,4,2,,,1,46.11540222,-67.91699982,-1
