V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Logo,Intro,Name_1_TEXT,Name_2_TEXT,Name_3_TEXT,Name_4_TEXT,Grade,Grade_TEXT,Q1,intro Q2,picture,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q33,LocationLatitude,LocationLongitude,LocationAccuracy
R_aWbmlQ61Q1Sll3v,Default Response Set,Anonymous,,,65.18.26.55,0,9/9/14 13:37,9/9/14 13:48,1,1,1,38,38,F,G,2,,0,1,1,0,2,5,1,3,4,4,2,1,2,4,3,5,1,5,5,5,1,2,1,5,4,4,4,,45.20239258,-68.59529877,-1
R_1NEm7S5FwtXB7jD,Default Response Set,Anonymous,,,65.18.24.250,0,9/9/14 13:25,9/9/14 13:51,1,1,1,39,39,F,G,2,,0,1,1,0,2,5,5,2,4,1,2,2,4,4,2,2,1,1,4,4,1,2,1,2,2,3,3,,45.20239258,-68.59529877,-1
R_8BLQLeqbIP5W3DD,Default Response Set,Anonymous,,,65.18.24.129,0,9/9/14 13:23,9/9/14 13:53,1,1,1,40,40,F,G,2,,1,1,1,0,5,3,1,1,2,3,1,4,2,2,5,2,3,3,3,5,3,2,3,4,4,3,3,,45.20239258,-68.59529877,-1
R_0Iq7OGq1W18FFqZ,Default Response Set,Anonymous,,,65.18.24.89,0,9/9/14 13:32,9/9/14 13:54,1,1,1,41,41,F,G,2,,0,1,1,1,5,3,1,3,4,1,5,2,2,3,1,5,4,3,5,5,4,5,4,5,4,4,4,,45.20239258,-68.59529877,-1
R_3W6WxSjQiC8xBD7,Default Response Set,Anonymous,,,65.18.24.84,0,9/9/14 13:32,9/9/14 13:54,1,1,1,42,42,LT,T,2,,0,1,1,0,2,5,1,2,5,5,5,1,4,5,3,5,2,5,3,5,1,2,5,5,4,1,1,,45.20239258,-68.59529877,-1
R_7NAdFkFVnpwNREF,Default Response Set,Anonymous,,,65.18.24.88,0,9/9/14 13:41,9/9/14 14:01,1,1,1,43,43,LT,T,2,,1,1,1,0,1,1,1,1,2,1,2,2,3,1,5,2,4,3,2,3,5,2,2,4,3,5,2,,45.20239258,-68.59529877,-1
R_0Ofm5FGuuKwjaAZ,Default Response Set,Anonymous,,,65.18.25.19,0,9/9/14 7:42,9/9/14 14:03,1,1,1,44,44,LT,T,2,,0,1,1,0,2,5,1,3,4,4,2,2,5,4,3,5,2,2,2,5,1,2,4,5,1,3,2,,45.20239258,-68.59529877,-1
R_erDsQs4kahcVqDj,Default Response Set,Anonymous,,,,1,9/9/14 14:44,9/9/14 14:59,1,1,1,45,45,LT,T,2,,0,1,1,0,2,5,1,3,2,1,2,2,2,4,5,2,2,5,4,5,1,1,4,5,1,4,3,,43.64149475,-70.24089813,-1
R_eRS6OtqeXpzw3GZ,Default Response Set,Anonymous,,,169.244.214.13,0,9/10/14 10:00,9/10/14 10:08,1,1,1,46,46,LT,T,2,,0,1,1,0,5,5,1,1,5,1,2,1,5,2,5,2,3,2,4,2,1,2,5,2,2,1,3,,43.11529541,-70.70510101,-1
R_71aesi0tanl3ivz,Default Response Set,Anonymous,,,169.244.214.224,0,9/10/14 10:06,9/10/14 10:14,1,1,1,47,47,LT,T,2,,0,1,1,1,2,2,5,3,4,1,2,1,4,3,5,5,4,4,4,2,1,2,3,2,4,2,2,,43.11529541,-70.70510101,-1
R_6WsY4uR6XT24gK1,Default Response Set,Anonymous,,,169.244.214.129,0,9/10/14 10:07,9/10/14 10:17,1,1,1,48,48,LT,T,2,,1,1,1,0,2,1,4,3,4,1,,1,4,1,4,2,1,4,3,2,2,2,4,2,2,1,3,,43.11529541,-70.70510101,-1
R_5aLLhlgyJ46kevb,Default Response Set,Anonymous,,,169.244.214.229,0,9/10/14 10:08,9/10/14 10:20,1,1,1,49,49,LL,,,,1,1,1,0,1,5,1,3,4,1,3,1,4,4,5,5,3,5,3,2,5,1,4,5,1,1,4,,43.11529541,-70.70510101,-1
R_1NugErik1Xzi4YJ,Default Response Set,Anonymous,,,169.244.214.231,0,9/10/14 10:08,9/10/14 10:20,1,1,1,50,50,LL,,,,1,1,1,0,1,5,5,4,4,5,2,3,4,4,3,2,2,2,2,1,1,2,2,5,1,5,1,,43.11529541,-70.70510101,-1
R_0dMdINKTenwcq0t,Default Response Set,Anonymous,,,169.244.214.225,0,9/10/14 10:09,9/10/14 10:20,1,1,1,51,51,LL,,,,1,1,1,0,2,4,1,5,2,4,5,1,4,4,5,5,2,5,2,4,1,2,4,5,1,3,1,,43.11529541,-70.70510101,-1
R_5tDCOxzLpEg6gLj,Default Response Set,Anonymous,,,169.244.214.222,0,9/10/14 10:10,9/10/14 10:22,1,1,1,52,52,LL,,,,1,1,1,0,1,1,5,3,4,4,2,1,2,2,3,5,5,5,5,4,3,2,4,1,1,5,3,,43.11529541,-70.70510101,-1
R_9GiBWgsj0CiBwNL,Default Response Set,Anonymous,,,169.244.214.232,0,9/10/14 10:10,9/10/14 10:24,1,1,1,53,53,LL,,,,0,1,1,1,2,5,4,3,5,1,3,1,4,4,3,2,2,5,2,5,1,2,4,3,1,4,1,,43.11529541,-70.70510101,-1
R_d45wfo4iJht3ZqJ,Default Response Set,Anonymous,,,169.244.214.230,0,9/10/14 10:09,9/10/14 10:26,1,1,1,54,54,LL,,,,1,1,1,0,1,5,5,3,4,1,2,1,4,4,3,5,2,5,2,1,1,2,4,5,1,5,1,,43.11529541,-70.70510101,-1
R_cXTw2zAG9I4IEx7,Default Response Set,Anonymous,,,169.244.214.221,0,9/10/14 10:13,9/10/14 10:35,1,1,1,55,55,LL,,,,1,1,1,0,2,5,1,1,5,5,5,5,4,4,5,2,2,3,4,1,1,5,5,5,4,4,3,,43.11529541,-70.70510101,-1
R_0DIayeLZFqACDBz,Default Response Set,Anonymous,,,169.244.21.104,0,9/10/14 13:24,9/10/14 13:47,1,1,1,56,56,LL,,,,1,1,1,0,4,4,5,4,4,2,5,4,1,2,2,3,5,3,4,5,4,2,3,1,3,1,3,,43.54159546,-70.46869659,-1
R_262LYK5pRWPaKd7,Default Response Set,Anonymous,,,169.244.214.235,0,9/10/14 14:43,9/10/14 14:56,1,1,1,57,57,LL,,,,0,1,1,1,5,5,5,1,4,1,1,2,4,4,5,4,3,2,5,3,5,2,4,2,4,1,2,,43.11529541,-70.70510101,-1
R_2lxUpsDIl1XKlLL,Default Response Set,Anonymous,,,169.244.43.92,0,9/11/14 9:26,9/11/14 9:45,1,1,1,58,58,LL,,,,1,1,1,0,5,4,1,5,5,5,3,1,2,3,5,5,2,1,1,3,3,2,1,2,4,4,1,,44.78070068,-68.73509979,-1
R_0e8Xit1oCMb5FeR,Default Response Set,Anonymous,,,169.244.43.173,0,9/11/14 9:27,9/11/14 9:45,1,1,1,59,59,LL,,,,0,1,1,0,5,1,1,1,5,1,5,1,2,4,5,4,3,2,4,2,2,*,1,3,4,4,5,,44.78070068,-68.73509979,-1
R_8kPSIhXkV3PnAP3,Default Response Set,Anonymous,,,169.244.43.154,0,9/11/14 9:26,9/11/14 9:45,1,1,1,60,60,LL,,,,0,1,1,0,2,2,5,3,4,4,3,1,4,2,4,2,2,2,2,2,4,2,1,1,4,3,4,,44.78070068,-68.73509979,-1
R_eo1AfFnDAzBqXnD,Default Response Set,Anonymous,,,169.244.43.151,0,9/11/14 9:27,9/11/14 9:45,1,1,1,61,61,LL,,,,1,1,1,1,*,2,4,1,3,2,1,2,4,3,3,3,2,1,2,1,4,2,4,5,*,1,4,,44.78070068,-68.73509979,-1
R_5ngdm7BPW2nXhnn,Default Response Set,Anonymous,,,169.244.43.149,0,9/11/14 9:29,9/11/14 9:46,1,1,1,62,62,LL,,,,1,1,1,0,4,1,3,2,2,1,3,1,3,3,4,2,4,3,2,1,4,2,2,5,4,3,2,,44.78070068,-68.73509979,-1
R_a9wf6kQiCYaEWVL,Default Response Set,Anonymous,,,169.244.43.175,0,9/11/14 9:27,9/11/14 9:46,1,1,1,63,63,LL,,,,0,1,1,0,2,3,4,4,3,5,5,5,4,1,1,2,2,5,4,2,1,2,2,3,4,5,4,,44.78070068,-68.73509979,-1
R_8rjpMeezFcZIJVj,Default Response Set,Anonymous,,,169.244.43.169,0,9/11/14 9:27,9/11/14 9:46,1,1,1,64,64,LL,,,,1,1,1,0,5,5,4,5,4,2,5,1,5,4,5,3,2,4,3,2,3,4,4,5,1,4,4,,44.78070068,-68.73509979,-1
R_baaZakn41HaL4ln,Default Response Set,Anonymous,,,169.244.43.153,0,9/11/14 9:34,9/11/14 9:49,1,1,1,65,65,LL,,,,0,1,1,0,2,1,1,3,2,4,5,2,2,4,5,4,2,5,4,1,4,2,2,5,1,4,4,,44.78070068,-68.73509979,-1
R_9LeUa4Ahwy3NaG9,Default Response Set,Anonymous,,,169.244.43.148,0,9/11/14 9:31,9/11/14 9:51,1,1,1,66,66,LL,,,,0,1,1,0,2,3,3,2,2,1,2,4,2,4,5,2,3,2,4,5,4,2,3,5,1,1,3,,44.78070068,-68.73509979,-1
R_7VsAP5nrdxt9prL,Default Response Set,Anonymous,,,169.244.43.65,0,9/11/14 9:29,9/11/14 9:51,1,1,1,67,67,LL,,,,0,1,1,0,2,3,4,1,2,3,1,3,2,3,1,2,3,4,2,2,3,3,1,1,4,4,2,,44.78070068,-68.73509979,-1
R_4VHME53nt3V7Agt,Default Response Set,Anonymous,,,169.244.43.147,0,9/11/14 9:30,9/11/14 9:53,1,1,1,68,68,LL,,,,0,1,1,0,1,1,1,3,2,1,2,1,2,4,3,2,2,5,2,4,4,2,4,5,4,1,3,,44.78070068,-68.73509979,-1
R_esrzSbbJgBx1UDb,Default Response Set,Anonymous,,,169.244.43.152,0,9/11/14 9:39,9/11/14 9:54,1,1,1,69,69,LL,,,,0,1,1,0,2,4,5,3,4,4,2,1,2,4,5,5,5,5,1,2,1,2,4,5,4,4,2,,44.78070068,-68.73509979,-1
R_aaTry9Y8L4XZtMF,Default Response Set,Anonymous,,,169.244.43.155,0,9/11/14 9:32,9/11/14 9:58,1,1,1,70,70,LL,,,,0,1,1,0,2,5,1,3,4,1,3,1,5,2,5,5,2,5,3,2,1,2,4,5,1,1,4,,44.78070068,-68.73509979,-1
R_bC4gndFl63FnpTn,Default Response Set,Anonymous,,,169.244.43.157,0,9/11/14 9:30,9/11/14 10:00,1,1,1,71,71,LL,,,,0,1,1,1,2,5,3,1,5,5,2,1,2,4,5,5,2,3,2,2,1,5,5,2,4,4,4,,44.78070068,-68.73509979,-1
R_bK722sLwkHw4rdP,Default Response Set,Anonymous,,,169.244.43.151,0,9/11/14 10:55,9/11/14 11:07,1,1,1,72,72,LL,,,,0,1,1,0,5,4,1,3,5,4,2,1,4,4,3,5,5,5,2,1,1,5,4,5,1,4,2,,44.78070068,-68.73509979,-1
R_bp99FnhDTy3cXat,Default Response Set,Anonymous,,,169.244.43.149,0,9/11/14 10:57,9/11/14 11:07,1,1,1,73,73,LL,,,,1,1,1,0,2,5,1,5,4,5,2,1,4,4,5,3,2,2,4,2,1,2,1,5,1,5,2,,44.78070068,-68.73509979,-1
R_1HwS7WCxTKigTCl,Default Response Set,Anonymous,,,169.244.43.149,0,9/11/14 10:57,9/11/14 11:08,1,1,1,74,74,LL,,,,1,1,1,0,2,4,5,4,5,4,2,1,4,4,3,2,3,5,1,1,1,2,4,3,1,5,1,,44.78070068,-68.73509979,-1
R_aXdxItgFeUTFwnb,Default Response Set,Anonymous,,,169.244.43.156,0,9/11/14 11:02,9/11/14 11:10,1,1,1,75,75,W,H,3,,1,1,1,0,2,4,1,4,4,1,2,1,4,3,1,2,3,2,1,5,3,2,4,5,3,3,3,,44.78070068,-68.73509979,-1
R_4HeDPVJlQZI9X01,Default Response Set,Anonymous,,,169.244.43.152,0,9/11/14 11:05,9/11/14 11:12,1,1,1,76,76,W,W,3,,1,1,1,0,1,5,,4,4,4,2,1,4,4,,,2,5,2,1,1,2,4,5,1,3,2,,44.78070068,-68.73509979,-1
R_77YNXPO9xt0mXop,Default Response Set,Anonymous,,,169.244.43.148,0,9/11/14 11:04,9/11/14 11:38,1,1,1,77,77,W,H,3,,1,1,1,0,1,5,4,4,5,1,2,1,4,4,2,4,5,4,2,5,3,2,1,4,4,1,4,,44.78070068,-68.73509979,-1
R_0UMEFogmzWU1V1H,Default Response Set,Anonymous,,,169.244.43.169,0,9/11/14 11:03,9/11/14 11:38,1,1,1,78,78,W,H,3,,1,1,1,0,1,2,5,3,1,1,2,4,4,4,1,2,2,3,5,4,1,2,4,1,4,1,1,,44.78070068,-68.73509979,-1
R_6fWzwstJKVgZKDz,Default Response Set,Anonymous,,,169.244.43.157,0,9/11/14 11:03,9/11/14 11:39,1,1,1,79,79,W,H,3,,1,1,1,0,4,4,4,4,1,1,2,1,2,4,5,4,3,1,1,5,3,5,5,1,1,5,2,,44.78070068,-68.73509979,-1
R_8Iy2Dlc22H42Llz,Default Response Set,Anonymous,,,169.244.43.175,0,9/11/14 11:07,9/11/14 11:39,1,1,1,80,80,W,H,3,,0,1,1,0,1,4,1,4,4,1,2,4,2,2,1,2,4,1,3,2,1,2,4,2,1,1,5,,44.78070068,-68.73509979,-1
R_9sFAPS4NAViDbo1,Default Response Set,Anonymous,,,169.244.43.147,0,9/11/14 11:04,9/11/14 11:40,1,1,1,81,81,W,H,3,,0,1,1,1,1,4,1,2,4,3,3,1,2,4,1,2,1,5,3,5,4,2,2,5,1,4,4,,44.78070068,-68.73509979,-1
R_9pEjnxt0mDNCXfT,Default Response Set,Anonymous,,,169.244.43.173,0,9/11/14 11:04,9/11/14 11:42,1,1,1,82,82,W,H,3,,0,1,1,0,2,5,4,3,4,3,3,5,2,4,1,2,1,5,2,2,1,5,2,5,5,4,4,,44.78070068,-68.73509979,-1
R_egR3fxaT0bs18Cp,Default Response Set,Anonymous,,,169.244.43.153,0,9/11/14 11:11,9/11/14 11:46,1,1,1,83,83,W,H,3,,0,1,1,0,2,1,1,4,,5,2,1,5,3,1,2,2,5,2,5,1,2,4,3,4,1,1,,44.78070068,-68.73509979,-1
R_e9iowSDL3zoFZpH,Default Response Set,Anonymous,,,169.244.43.65,0,9/11/14 11:11,9/11/14 11:47,1,1,1,84,84,W,RSU,3,,0,1,1,0,5,1,5,2,4,1,2,1,5,2,5,2,4,3,2,2,3,2,2,5,2,1,1,,44.78070068,-68.73509979,-1
